Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-06,11.66,12.033,11.595,11.977,101891347,36.751,37.602,36.641999999999996,37.583,30269084,134.65,137.49,134.37,137.13,3122307,53.398,54.556000000000004,53.172,54.465,22575016,22.424,22.875,22.278000000000002,22.803,15622888,39.77,40.434,39.605,40.427,21951515
2016-07-05,12.043,12.052999999999999,11.763,11.868,105341005,37.876,37.986,36.996,37.326,27931063,138.23,138.23,135.02,136.09,4184700,54.7,54.836000000000006,53.479,53.885,25786309,23.122,23.185,22.506999999999998,22.668000000000003,14687207,40.472,40.525,39.699,40.046,25610533
2016-07-01,12.285,12.359000000000002,12.126,12.200999999999999,95323397,38.718,39.076,38.415,38.599000000000004,21151387,139.88,141.97,139.47,139.65,3287052,55.67100000000001,56.114,55.343,55.433,15708481,23.364,23.935,23.355999999999998,23.500999999999998,9775471,40.801,40.973,40.611999999999995,40.757,21929972
2016-06-30,12.453,12.462,12.172,12.359000000000002,134628318,39.066,39.171,38.150999999999996,38.801,37600347,138.19,140.25,136.92,139.97,4807022,55.338,55.843,54.79,55.795,23774333,22.975,23.568,22.831,23.555,21764843,40.938,41.043,40.323,41.019,26005559
2016-06-29,12.172,12.312000000000001,12.033,12.285,126670893,37.657,38.617,37.437,38.555,37049647,135.29,137.1,134.65,137.05,4033582,54.198,54.96,53.873999999999995,54.951,23898038,22.613000000000003,22.889,22.339000000000002,22.875,15139332,40.412,40.72,39.991,40.705999999999996,24044944
2016-06-28,11.708,11.847999999999999,11.504000000000001,11.829,160937139,36.439,37.19,35.883,37.015,42161953,133.97,134.36,131.73,134.16,5350282,53.148,53.47,52.312,53.443999999999996,32382170,21.996,22.331,21.646,22.313000000000002,21811085,39.77,39.96,39.292,39.951,31743459
2016-06-27,11.895,11.895,11.222000000000001,11.345999999999998,278609648,36.227,36.285,35.066,35.223,58376010,131.95,133.06,130.17,131.44,7849845,52.715,52.751000000000005,51.225,51.727,42213477,21.804000000000002,21.86,20.954,21.406,28434454,39.173,39.282,38.565,39.006,40460627
2016-06-24,12.154000000000002,12.517999999999999,12.082,12.107999999999999,248116963,37.19,37.885,36.633,36.889,78466198,134.74,137.95,132.77,133.62,10021772,54.305,55.401,53.281000000000006,53.515,49071770,22.730999999999998,23.147,22.221999999999998,22.232,54366949,39.655,40.705999999999996,39.241,39.614000000000004,53872695
2016-06-23,12.89,13.088,12.872,13.079,87345183,39.825,40.733000000000004,39.789,40.696999999999996,27886673,141.84,143.94,141.46,143.81,3113482,57.196999999999996,57.599,57.042,57.511,18458885,24.416999999999998,24.743000000000002,24.299,24.743000000000002,19861834,41.288000000000004,41.519,41.068999999999996,41.519,18739907
2016-06-22,12.665999999999999,12.832,12.655999999999999,12.675,83572200,39.239000000000004,39.754,39.025999999999996,39.066,19749558,139.41,141.44,139.39,139.54,2637397,56.527,57.207,56.281000000000006,56.308,14063855,23.781999999999996,24.191,23.701,23.926,16035877,40.861999999999995,41.233999999999995,40.67,40.705999999999996,19687071
